Id, X, Y, Dependency, Repeat, Duration
0 13 3 36 18 119
1 48 15 0 3 94
2 49 25 25 6 92
3 44 11 0 14 16
4 30 25 30 15 146
5 27 25 0 20 28
6 4 19 20 1 51
7 19 19 3 9 54
8 45 10 5 17 86
9 11 9 0 9 87
10 33 21 16 18 46
11 5 27 21 8 234
12 39 6 0 19 208
13 39 21 31 2 145
14 23 27 0 10 27
15 18 21 24 9 295
16 21 11 0 4 59
17 4 13 0 19 32
18 14 11 0 6 146
19 16 9 0 6 93
20 2 17 0 5 130
21 41 20 0 2 214
22 2 10 0 8 221
23 17 6 39 9 113
24 14 14 33 2 92
25 21 23 34 12 46
26 17 9 36 5 137
27 18 25 0 5 80
28 9 10 0 17 29
29 6 8 47 15 180
30 11 2 31 2 280
31 40 20 29 9 85
32 41 5 0 6 259
33 34 19 28 16 137
34 27 22 0 9 39
35 11 25 5 15 166
36 21 24 0 19 130
37 10 5 0 15 42
38 7 10 0 16 224
39 14 23 0 2 90
40 50 25 0 17 37
41 30 19 0 2 213
42 6 20 13 17 72
43 33 24 40 13 114
44 9 3 43 1 250
45 6 22 33 9 78
46 50 6 28 18 268
47 48 9 0 20 200
48 36 3 0 20 104
49 11 11 44 16 245

