Id, X, Y, Dependency, Repeat, Duration
0 31 17 0 13 115
1 18 20 9 2 34
2 25 4 69 5 160
3 17 8 0 4 234
4 4 23 119 5 230
5 3 4 38 1 56
6 24 26 0 5 54
7 9 15 38 6 136
8 31 24 0 7 85
9 31 6 0 1 66
10 42 18 24 10 198
11 3 15 0 13 187
12 49 17 0 5 102
13 50 4 0 13 158
14 26 4 140 13 139
15 38 3 18 7 206
16 24 27 0 8 36
17 5 23 59 13 94
18 17 16 124 15 179
19 9 18 41 6 178
20 34 19 0 1 82
21 34 5 0 6 202
22 23 27 0 14 228
23 6 23 148 10 259
24 42 3 0 13 52
25 36 13 0 7 296
26 41 25 61 7 155
27 15 6 0 1 56
28 25 12 0 14 286
29 3 26 86 1 182
30 34 20 0 7 240
31 46 9 0 6 177
32 49 18 143 15 190
33 46 14 85 2 128
34 19 12 108 8 203
35 42 13 71 14 119
36 43 13 0 15 191
37 42 17 89 12 117
38 50 6 0 6 123
39 41 27 0 1 180
40 14 18 0 2 165
41 3 25 121 7 191
42 37 17 129 2 185
43 7 10 0 1 46
44 46 4 0 11 52
45 7 7 0 7 185
46 10 3 0 13 291
47 7 13 0 8 237
48 41 20 87 13 275
49 38 26 118 6 264
50 29 13 0 10 21
51 49 5 54 13 153
52 2 4 0 1 78
53 41 4 0 12 195
54 29 16 50 12 130
55 27 17 108 13 64
56 14 13 0 9 116
57 37 6 0 5 203
58 46 7 137 15 153
59 38 27 0 12 193
60 13 23 0 9 192
61 36 22 0 13 21
62 40 14 0 13 52
63 44 6 0 7 212
64 23 9 80 13 94
65 44 2 52 9 42
66 26 5 0 9 40
67 24 9 78 5 157
68 40 10 22 8 25
69 48 27 0 12 62
70 2 15 84 9 158
71 6 16 0 14 76
72 44 14 0 1 284
73 22 15 2 12 78
74 33 20 0 11 126
75 3 9 147 9 64
76 38 25 0 4 37
77 8 21 131 10 118
78 3 27 0 1 175
79 45 11 37 10 135
80 39 13 103 7 189
81 30 23 0 9 56
82 37 15 0 12 227
83 35 4 80 10 16
84 49 27 73 5 135
85 49 6 18 7 242
86 45 26 0 11 226
87 11 25 80 1 97
88 33 8 0 7 243
89 14 2 119 7 258
90 2 23 0 10 124
91 40 22 31 7 181
92 33 19 102 13 48
93 17 6 89 12 84
94 21 4 0 4 187
95 44 9 0 13 68
96 20 12 1 13 99
97 20 21 0 2 152
98 15 2 0 9 245
99 48 14 0 10 41
100 27 22 56 15 112
101 24 23 88 14 211
102 36 11 141 11 54
103 22 13 128 11 23
104 44 8 50 9 24
105 44 21 0 8 233
106 19 20 83 8 98
107 24 17 95 6 210
108 33 13 0 12 282
109 19 10 47 4 15
110 18 4 12 14 144
111 29 26 0 3 32
112 34 23 0 12 148
113 3 21 137 15 276
114 8 17 82 7 209
115 43 19 141 3 145
116 22 12 129 9 142
117 8 9 18 5 191
118 11 23 16 2 281
119 27 27 0 13 242
120 23 22 0 15 122
121 30 10 92 5 128
122 26 26 123 14 244
123 32 21 38 9 248
124 46 8 0 13 13
125 3 22 0 13 58
126 31 22 12 7 22
127 45 20 0 11 89
128 45 14 0 15 212
129 17 13 9 9 56
130 33 23 0 1 86
131 37 9 0 5 130
132 23 15 0 10 177
133 38 2 0 13 276
134 24 15 0 11 267
135 24 8 109 5 254
136 2 6 0 4 118
137 18 25 0 11 83
138 40 11 0 11 149
139 50 7 18 12 54
140 46 12 0 5 219
141 11 5 126 10 221
142 32 18 0 6 279
143 16 2 72 14 16
144 27 5 2 1 242
145 13 18 98 15 228
146 17 21 0 10 295
147 14 21 0 6 288
148 39 15 0 13 126
149 30 18 99 10 107

