Id, X, Y, Dependency, Repeat, Duration
0 29 26 0 5 20
1 40 3 0 2 116
2 17 7 0 5 50
3 30 9 0 4 40
4 3 19 0 5 20
5 37 11 0 3 98
6 18 18 0 2 116
7 46 18 0 2 63
8 21 17 0 1 85
9 49 25 0 3 39
10 24 19 0 5 105
11 41 27 0 1 38
12 37 17 0 3 31
13 41 11 0 1 105
14 45 13 0 1 37
15 5 7 0 2 49
16 45 25 0 4 21
17 15 22 0 2 33
18 40 22 106 2 89
19 40 4 0 4 107
20 37 16 0 5 33
21 46 19 118 2 79
22 43 5 0 1 114
23 36 3 0 1 44
24 18 26 0 3 66
25 25 27 0 5 36
26 49 4 0 4 90
27 30 21 0 3 118
28 31 6 0 2 91
29 27 16 0 3 68
30 44 6 0 2 58
31 19 7 0 5 53
32 7 21 0 5 13
33 25 11 0 2 72
34 3 25 0 4 22
35 47 27 0 5 119
36 42 22 0 4 54
37 50 27 0 3 29
38 26 6 0 5 85
39 14 25 0 2 67
40 33 19 0 4 29
41 2 21 0 4 68
42 7 11 0 2 89
43 4 18 0 3 74
44 38 15 0 4 57
45 15 9 0 1 65
46 22 11 20 5 90
47 29 10 0 5 116
48 36 6 0 5 64
49 28 13 0 4 34
50 2 26 0 2 108
51 2 11 125 2 54
52 7 24 0 5 26
53 39 22 0 2 95
54 40 21 0 4 84
55 36 14 0 2 107
56 19 17 0 5 94
57 17 23 0 5 46
58 15 15 0 1 54
59 25 10 0 3 74
60 6 8 0 1 93
61 43 17 0 3 100
62 20 12 0 5 100
63 45 4 0 4 92
64 6 20 0 4 22
65 6 9 0 2 115
66 18 12 0 1 64
67 33 6 0 4 96
68 45 27 0 3 105
69 40 20 0 2 82
70 19 9 0 3 107
71 23 17 0 4 83
72 40 10 0 5 33
73 49 13 0 4 101
74 19 2 0 1 77
75 40 11 0 5 119
76 44 27 0 3 32
77 8 7 0 5 48
78 22 19 0 3 77
79 18 6 0 3 36
80 3 10 0 1 77
81 11 27 0 4 104
82 21 12 0 1 30
83 49 11 0 2 48
84 7 26 0 1 77
85 37 7 0 5 64
86 26 26 0 4 75
87 43 23 0 5 84
88 23 26 0 3 79
89 9 10 0 1 99
90 46 9 0 3 62
91 6 27 0 4 60
92 43 11 0 3 110
93 39 25 0 2 38
94 44 15 0 2 109
95 10 22 0 1 120
96 27 12 0 3 54
97 6 6 0 4 92
98 14 9 0 4 94
99 15 7 0 5 78
100 13 23 22 5 116
101 25 12 0 3 81
102 50 14 105 1 59
103 11 2 0 5 117
104 19 16 0 4 30
105 15 2 0 1 87
106 36 10 0 1 46
107 49 22 0 1 70
108 4 19 102 3 38
109 25 6 0 4 50
110 46 17 0 4 23
111 11 13 0 4 90
112 43 22 0 4 41
113 11 6 0 3 116
114 21 20 0 4 36
115 44 17 0 4 83
116 11 17 0 4 35
117 11 24 0 3 61
118 42 15 0 5 54
119 40 6 0 2 41
120 41 6 0 2 101
121 7 7 0 5 83
122 7 3 0 2 100
123 29 8 0 1 81
124 31 17 0 1 26
125 44 8 0 2 62
126 33 15 0 1 98
127 42 3 0 1 31
128 32 23 0 1 65
129 29 16 0 3 14
130 18 4 0 3 60
131 11 22 0 5 105
132 8 22 127 1 37
133 45 15 0 3 40
134 24 20 0 1 109
135 9 6 0 3 87
136 35 19 0 1 49
137 13 26 0 1 37
138 38 5 0 5 49
139 11 11 0 5 86
140 24 17 0 4 48
141 33 7 0 5 64
142 33 16 0 4 24
143 19 11 0 4 59
144 50 19 0 5 42
145 24 10 0 1 66
146 38 18 0 5 10
147 38 2 0 1 21
148 27 24 0 5 85
149 19 14 0 4 106

