Id, X, Y, Dependency, Repeat, Duration
0 25 11 48 9 38
1 25 16 0 6 24
2 43 2 0 2 62
3 10 19 0 9 39
4 18 27 0 3 52
5 49 27 0 8 53
6 14 27 0 4 70
7 5 17 0 10 64
8 23 4 0 9 13
9 11 18 0 6 108
10 6 17 0 9 77
11 21 13 0 10 107
12 9 11 0 3 22
13 40 20 0 4 39
14 35 18 0 10 57
15 28 22 41 5 36
16 46 14 0 8 77
17 34 14 0 8 98
18 13 17 0 7 73
19 38 20 0 1 24
20 43 17 12 8 30
21 13 13 0 3 20
22 13 2 0 9 108
23 38 3 0 4 36
24 13 3 0 6 75
25 50 23 0 10 92
26 11 22 0 9 90
27 36 7 0 7 11
28 16 2 0 7 34
29 29 13 0 9 68
30 10 27 0 3 55
31 7 13 0 4 93
32 27 19 0 2 112
33 23 11 1 4 84
34 32 21 30 10 69
35 27 9 4 3 82
36 17 15 0 7 10
37 15 18 0 1 35
38 37 19 15 7 37
39 42 7 28 9 105
40 33 5 0 6 39
41 38 10 0 10 45
42 15 21 0 4 59
43 29 23 5 3 49
44 20 24 22 1 19
45 45 27 0 1 109
46 32 22 1 2 70
47 49 10 0 9 26
48 11 11 0 5 20
49 30 10 0 7 49

