Id, X, Y, Dependency, Repeat, Duration
0 46 4 0 14 228
1 29 26 46 11 131
2 33 22 0 15 258
3 17 5 61 4 280
4 29 10 66 13 248
5 11 11 0 13 278
6 28 20 3 6 56
7 11 18 19 5 264
8 18 22 0 3 201
9 43 13 17 6 128
10 40 4 0 9 167
11 28 10 17 6 118
12 3 2 0 6 297
13 41 24 71 13 254
14 6 26 70 11 216
15 24 16 73 4 289
16 18 25 44 14 21
17 13 22 0 2 108
18 20 20 0 3 131
19 7 19 0 10 23
20 9 7 0 8 107
21 48 5 0 3 102
22 24 13 0 12 102
23 34 21 0 9 263
24 44 14 0 8 193
25 37 9 0 14 43
26 46 12 24 15 230
27 25 26 81 3 269
28 39 27 62 7 220
29 11 21 21 8 18
30 26 26 0 2 267
31 46 23 0 2 16
32 4 14 68 3 51
33 30 9 75 11 289
34 23 10 14 2 223
35 41 4 0 1 250
36 18 12 0 12 68
37 4 10 45 5 243
38 40 15 0 9 29
39 46 13 0 13 78
40 13 6 0 5 74
41 28 26 0 2 205
42 45 26 0 2 279
43 36 18 94 10 51
44 17 25 82 14 294
45 39 22 0 11 46
46 33 7 39 4 298
47 7 3 21 14 216
48 50 4 85 13 144
49 10 18 0 4 30
50 45 25 0 12 10
51 28 5 34 7 56
52 23 12 0 10 31
53 18 11 0 11 95
54 19 11 37 5 273
55 39 20 0 4 94
56 43 23 55 1 34
57 46 21 0 2 295
58 14 22 0 10 221
59 10 9 0 13 75
60 34 3 59 8 74
61 3 26 42 8 285
62 45 18 0 2 266
63 11 7 0 10 201
64 38 15 59 15 78
65 2 13 13 5 111
66 42 15 0 7 144
67 4 6 0 7 293
68 10 21 0 10 12
69 43 19 0 6 82
70 29 9 0 6 152
71 39 6 39 15 160
72 4 26 36 2 31
73 15 3 18 5 112
74 36 5 31 4 164
75 49 6 0 8 273
76 2 25 0 11 18
77 17 20 27 4 78
78 41 23 0 14 160
79 7 6 78 13 293
80 40 21 67 5 268
81 18 27 95 12 92
82 42 5 0 13 255
83 38 20 93 10 277
84 3 13 12 10 254
85 15 15 46 8 51
86 20 14 0 1 157
87 9 3 0 4 220
88 9 9 0 14 125
89 36 9 0 2 266
90 15 6 0 8 191
91 22 12 0 13 142
92 9 19 0 4 127
93 40 9 71 2 150
94 10 11 0 7 93
95 17 10 0 7 285
96 2 6 0 13 243
97 47 7 73 2 35
98 35 6 0 10 162
99 41 27 0 8 269

