Id, X, Y, Dependency, Repeat, Duration
0 17 9 0 2 402
1 42 17 22 21 89
2 41 4 28 3 24
3 7 3 0 1 438
4 33 22 19 13 123
5 28 16 3 23 405
6 10 11 17 17 254
7 44 22 0 8 116
8 10 27 16 20 496
9 50 2 28 8 175
10 48 25 0 15 158
11 33 9 40 1 440
12 13 18 0 21 302
13 46 27 12 26 10
14 34 21 5 21 167
15 13 14 10 7 344
16 18 9 15 19 401
17 38 9 0 5 76
18 33 17 0 2 477
19 36 13 38 21 490
20 7 5 25 23 62
21 43 3 46 9 364
22 49 23 28 9 469
23 36 9 19 13 71
24 13 2 32 9 95
25 25 4 21 21 469
26 16 3 20 12 234
27 18 25 13 18 272
28 43 25 44 17 167
29 33 3 0 10 490
30 40 11 4 10 45
31 33 5 10 8 34
32 34 17 47 7 76
33 35 20 0 7 349
34 31 12 15 12 175
35 39 13 43 11 229
36 15 23 12 5 280
37 48 10 9 2 380
38 23 8 28 17 376
39 17 20 0 24 283
40 37 10 24 4 268
41 44 20 17 7 430
42 43 7 30 19 264
43 48 5 1 15 322
44 33 10 18 14 195
45 15 22 24 17 273
46 40 4 4 2 391
47 3 25 0 18 494
48 20 17 10 22 85
49 4 14 22 22 41

