Id, X, Y, Dependency, Repeat, Duration
0 47 9 29 5 287
1 23 21 0 12 111
2 15 19 0 15 75
3 37 24 9 8 243
4 45 22 0 11 173
5 33 12 0 7 185
6 48 2 0 1 252
7 28 9 0 5 96
8 50 5 0 10 113
9 36 13 0 12 119
10 49 23 39 6 68
11 19 4 38 8 89
12 4 5 27 9 292
13 36 5 0 5 179
14 28 22 19 6 126
15 39 21 0 9 123
16 28 5 0 7 22
17 34 12 0 14 234
18 2 22 0 8 66
19 43 25 0 11 48
20 49 15 0 3 74
21 36 9 0 4 191
22 8 23 19 5 250
23 40 15 0 7 98
24 44 15 0 15 152
25 5 25 0 9 152
26 48 22 0 4 163
27 28 4 9 10 180
28 18 23 0 5 212
29 34 24 6 15 196
30 48 13 0 13 64
31 35 13 9 10 131
32 28 16 0 13 273
33 19 6 0 2 245
34 16 7 0 1 243
35 25 24 0 13 49
36 3 7 0 8 30
37 36 16 17 15 72
38 40 10 0 6 79
39 39 7 22 4 105
40 39 20 0 4 158
41 6 21 0 7 287
42 6 17 0 11 25
43 11 7 3 1 202
44 11 2 0 5 178
45 33 4 0 15 72
46 25 15 0 5 137
47 7 17 21 15 26
48 49 5 0 11 275
49 18 21 0 6 31

